Date,Open,High,Low,Close,Adj Close,Volume
2017-07-20,120.199997,120.550003,119.360001,119.760002,114.049362,55435
2017-07-21,119.739998,121.199997,119.230003,119.830002,114.116020,45955
2017-07-24,120.000000,120.910004,119.000000,119.220001,113.535110,28715
2017-07-25,119.589996,119.639999,117.540001,117.940002,112.316147,27855
2017-07-26,118.000000,118.669998,117.199997,117.540001,111.935226,19285
2017-07-27,117.870003,119.519997,117.000000,118.000000,112.373283,39330
2017-07-28,120.000000,120.000000,116.800003,117.410004,111.811424,33770
2017-07-31,117.279999,117.279999,115.360001,116.150002,110.611504,69455
2017-08-01,117.000000,117.669998,115.190002,116.459999,110.906708,26015
2017-08-02,117.410004,117.470001,115.620003,115.900002,110.373428,13405
2017-08-03,115.800003,116.199997,114.800003,115.019997,109.535385,18645
2017-08-04,114.449997,118.400002,114.449997,116.290001,110.744827,29970
2017-08-07,116.599998,116.699997,115.000000,115.570000,110.059158,45490
2017-08-08,115.879997,116.639999,114.300003,114.739998,109.268723,24740
2017-08-09,113.000000,114.400002,109.889999,110.500000,105.230911,34865
2017-08-10,109.599998,110.209999,102.199997,105.129997,100.116982,70650
2017-08-11,105.599998,112.080002,103.160004,109.230003,104.021477,89770
2017-08-14,109.410004,112.980003,108.849998,109.500000,104.278595,39755
2017-08-16,111.000000,111.019997,109.559998,109.709999,104.478584,15305
2017-08-17,110.000000,110.000000,109.000000,109.089996,103.888153,17880
2017-08-18,109.000000,109.000000,103.599998,107.279999,102.164459,30385
2017-08-21,109.769997,111.000000,104.849998,105.269997,100.250305,53825
2017-08-22,105.400002,106.769997,103.330002,103.849998,98.898003,36175
2017-08-23,104.709999,105.199997,103.029999,104.989998,99.983650,40145
2017-08-24,105.900002,105.900002,103.599998,104.459999,99.478928,33675
2017-08-28,104.599998,105.190002,101.000000,102.639999,97.745705,115895
2017-08-29,100.239998,102.379997,99.440002,101.220001,96.393425,53395
2017-08-30,101.620003,104.400002,101.620003,103.570000,98.631363,75300
2017-08-31,104.730003,107.430000,104.730003,105.379997,100.355049,46415
2017-09-01,105.690002,108.599998,105.690002,108.059998,102.907257,53120
2017-09-04,107.769997,110.000000,107.199997,109.010002,103.811981,66275
2017-09-05,108.720001,110.889999,108.690002,110.599998,105.326141,55700
2017-09-06,108.389999,110.809998,108.389999,109.010002,103.811981,78605
2017-09-07,109.750000,110.839996,109.269997,109.830002,104.592865,2086845
2017-09-08,109.709999,111.419998,108.400002,108.879997,103.688156,552600
2017-09-11,110.370003,110.400002,107.019997,108.129997,102.973923,108205
2017-09-12,108.089996,108.980003,105.599998,106.779999,101.688301,134165
2017-09-13,106.900002,107.349998,105.040001,105.559998,100.526466,61195
2017-09-14,106.160004,112.779999,105.699997,109.919998,104.678574,143020
2017-09-15,108.989998,114.800003,108.000000,109.959999,104.716652,203730
2017-09-18,111.980003,112.019997,107.900002,108.639999,103.459610,175445
2017-09-19,109.610001,110.589996,108.620003,109.230003,104.021477,163530
2017-09-20,110.080002,110.580002,108.820000,109.910004,104.669052,97310
2017-09-21,110.010002,110.059998,107.800003,108.459999,103.288185,86125
2017-09-22,107.400002,109.250000,107.000000,107.870003,102.726326,71480
2017-09-25,107.300003,108.949997,102.599998,104.820000,99.821762,240385
2017-09-26,104.739998,105.129997,102.800003,104.410004,99.431313,23065
2017-09-27,103.989998,105.349998,102.110001,102.709999,97.812370,33065
2017-09-28,102.599998,102.800003,100.870003,101.449997,96.612457,35425
2017-09-29,101.589996,103.620003,100.739998,101.180000,96.355324,36255
2017-10-03,103.269997,103.419998,101.000000,101.730003,96.879112,36950
2017-10-04,102.949997,110.599998,102.779999,107.290001,102.173988,162045
2017-10-05,106.820000,109.620003,106.199997,107.010002,101.907326,61145
2017-10-06,107.610001,109.239998,106.709999,108.150002,102.992966,57630
2017-10-09,107.190002,107.989998,106.160004,106.540001,101.459740,33550
